A young woman is seen standing in a room and leads into his/her/their/its/your/my [MASK] .	dancing
The girl dances around the room while the [MASK] captures her movements .	camera
She continues dancing around the room and ends by laying on the [MASK] .	floor
The [MASK] starts with a title logo sequence .	video
A man and [MASK] are in a living room demonstrating exercises .	woman
The [MASK] lays on the ground .	woman
The [MASK] starts pointing to different areas of the woman 's body as she does an exercise .	man
The [MASK] begins to do small sit ups .	woman
The woman ends with a final title [MASK] sequence .	logo
Two people are seen moving around a/an [MASK] quickly performing various tasks and sitting down .	kitchen
They then wax down a ski in the [MASK] while continuing to move around .	kitchen
We see a/an [MASK] with a wooden floor .	hallway
A/An [MASK] in socks walks slowly out onto the floor as a lady films him .	dog
The [MASK] turns around and goes back to the other room .	dog
A woman and a man are sitting on the sidewalk [MASK] music .	playing
A little [MASK] holding a yellow ball walks by .	boy
A man poses for a picture in [MASK] of them .	front
A young [MASK] is seen sitting in a chair with a person standing next to her .	girl
The person next to her then piercing one [MASK] followed by the other .	ear
The [MASK] rubs lotion on the piercings afterwards .	person
A/An [MASK] is shown riding a camel past pyramids in Egypt .	woman
The [MASK] walks as the woman leans forward .	camel
And [MASK] covers the lens as the harness is shown .	hand
A/An [MASK] mops the floor of a hallway in a house .	child
The child sets the mop down and plays with her family [MASK] .	member
The child walks into the [MASK] area and continues to mop the floor .	bedroom
A man is seen kneeling down on the floor speaking to the [MASK] .	camera
The man mixes up various ingredients and begins laying plaster on the [MASK] .	floor
He measures the floor and tiles and cuts out a/an [MASK] of tile to lay on the floor .	piece
He continues laying tiles on the [MASK] while looking back to speak to the camera .	floor
Two lines of young men are walking side by side down a/an [MASK] .	road
Then one [MASK] stands in a field holding a wooden object and begins twisting it .	man
He then bends down and grabs a/an [MASK] .	ball
After , the ball is placed on the [MASK] and he picks it up and hits it as if he 's playing baseball .	ground
The [MASK] is thrown back and he its it again .	ball
Shortly after , a/an [MASK] of men are shown and they begin playing a game against one another .	field
There was a/an [MASK] and one players attempts to hit the ball into the goal from the side .	penalty
Lastly , the [MASK] flashes to a black screen and the words The End are shown .	screen
A woman wearing overalls is talking to the [MASK] .	camera
She lays out wrapping [MASK] , showing how to wrap a toy in it .	paper
She wraps it around the [MASK] , then tapes it up .	toy
A man in a suit is sitting behind a/an [MASK] .	desk
People are playing lacrosse on a field of [MASK] .	grass
A/An [MASK] in a yellow uniform is standing in front of a net blocking balls .	person
A girl is seen climbing across a set of monkey bars followed by her waving to the [MASK] .	camera
She climbs her way back on the bars and jumps down mid [MASK] through .	way
A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a/an [MASK] .	mountain
The man zooms in on himself riding down the hill and ends with him turning off the [MASK] .	camera
A playroom is seen followed by a young boy sliding down a/an [MASK] and climbing back up again .	slide
He slides down again , this [MASK] landing on his back , and continues to slide down several more times .	time
A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the [MASK] behind them in the middle of them .	wall
The [MASK] picks up a clipboard next to her and smooths out the papers that are on top of it while smiling , crosses her legs and sits back .	woman
The man is talking this whole [MASK] while the woman gets comfortable on her couch and the woman briefly talks .	time
When the clips end the [MASK] and woman on the couch begin talking and she puts her clipboard down .	man
The former president is seen walking in a large [MASK] next to a woman and surrounded by a large crowd .	field
The [MASK] gives a speech while people cheering and he shakes hands with others .	man
The [MASK] then shares a beer with other people around him .	man
Four kids are outside in the beach playing in the [MASK] , two boys on the left and two girls on the right .	sand
The girls have about six sand castles and a large [MASK] surrounding it filled with water .	circle
They then take off running to the beach to grab more [MASK] as the boy comes and looks at their work .	water
Once they are done , both of the girls take off running to the water but then stop [MASK] to come back and get their floats .	midway
A large pile of leaves are seen being blown around with shots of a/an [MASK] being shown .	blower
the leaves continue to be shown blowing around as well as a/an [MASK] sitting off in the distance .	machine
A basketball player is seen dribbling a ball in various shots for the [MASK] and leads into the player making baskets over and over again .	camera
The man is then seen speaking to the [MASK] and transitions into him scoring several more baskets .	camera
People are standing in a/an [MASK] working out .	room
They are stepping up and down on small [MASK] stools .	stepping
They continue working out in the [MASK] .	room
A black and white video is being played of people playing [MASK] on a field .	lacrosse
It then turns back to [MASK] and splits into multiple frames and speeds .	color
The [MASK] includes numerous clips of players in lacrosse games , hitting the ball toward opposing goals .	video
A/An [MASK] is playing the bagpipes in front of people .	man
The people on the couch in front of him start [MASK] .	laughing
A man is seen padding a canoe along the [MASK] while the camera captures him from several angles .	water
The [MASK] continues riding around followed by performing several ways to turn the canoe around .	man
A group of people stand in front of a blackjack [MASK] .	table
The blackjack attendant places cards on the [MASK] .	table
Two men in padded sumo costumes are pulled along a tug [MASK] on a ski slope .	rope
Two men in yellow padded sumo costumes do jumps on his/her/their/its/your/my [MASK] on a downhill course .	snowboard
A filmer waives to the [MASK] .	camera
The man spins while sliding across a/an [MASK] in the sumo suit .	platform
The man in sumo suit goes over a small triangular [MASK] .	obstacle
A/An [MASK] on small skis crashes while trying to jump .	man
The man jumps onto and slide across a platform while wearing a sumo [MASK] .	suit
The [MASK] bounces over a low railing .	man
A/An [MASK] was sitting inside a room .	man
He is holding a/an [MASK] of noodles and broth .	bowl
He is drinking the broth from a/an [MASK] .	bowl
A little boy is laying on a/an [MASK] ball .	exercise
The [MASK] falls of and gets back on the ball before he falls off again .	boy
He tries to sit on the ball but the [MASK] rolls away .	ball
He retrieves it and continues to sit on and fall off the [MASK] .	ball
A/An [MASK] puts a pair of shoes on while sitting in an office chair .	woman
The [MASK] buckles her shoes .	woman
A close up of a bike [MASK] is seen that leads into a person 's hands pushing on the tire .	wheel
The person uses a/an [MASK] along the tire to help move it along .	tool
The person finally pushes the [MASK] along it 's sides .	tire
A/An [MASK] is seen talking to the camera and presenting various liquids to the camera .	woman
She ready 's the tip of a glass and dips the glass into [MASK] on a plate .	sugar
She pours various liquids into a mixer and shakes the [MASK] all together .	mixture
She pours the drink out into the glass while still speaking to the [MASK] .	camera
Three people stand by the corner of a/an [MASK] .	building
One of the persons , a young [MASK] , takes a bow .	boy
A/An [MASK] of people watch him .	crowd
He proceeds to perform various karate moves , such as [MASK] , cartwheels and flips .	bowing
A/An [MASK] is holding a flute .	person
The person shows a fingering for the second octave of the [MASK] .	note
The person shows the [MASK] on the third octave .	fingering
The woman talks directly to the [MASK] .	camera
The screen shows the title of preparing a Chilean Hulte [MASK] dish .	salad
A/An [MASK] is mixing salad ingredients in a large bowl .	person
There is [MASK] shown about Dr. Rachel Collin 's trip to Chile .	information
There are several people standing under a/an [MASK] at a food market .	canopy
Two customers make a purchase and give money to the [MASK] and give the camera a thumbs up .	seller
The [MASK] is showing hulte placed on a kitchen counter .	chef
The chef is slicing the [MASK] in circular bite size pieces .	hulte
A woman eats the cut pieces of [MASK] .	hulte
The chef chops some cilantro on the [MASK] counter .	kitchen
Then the [MASK] places the ingredients in a salad bowl .	chef
The finished product is shown on screen , followed by a/an [MASK] of people sitting together and enjoying the salad .	group
The end credits are displayed on the [MASK] .	screen
Hiphop dancers perform in [MASK] of a crowd .	front
They are all doing the same basic [MASK] and having pictures taken of them .	dance
A murky [MASK] is shown next to a row of trees .	river
A/An [MASK] of people on intertubes go by slowly .	bunch
Three girls are on the [MASK] talking .	beach
They do several flips on the [MASK] .	beach
They lift one of the girls up for a/an [MASK] .	stunt
The camera pans above lush and green [MASK] over what looks like a mountain range .	terrain
A/An [MASK] is shown covered in sweat and then jumping across various hills performing stunts on a dirt bike .	man
He is highly skilled and jumping over [MASK] .	everything
The video then shows multiple men on dirt bikes jumping in various different places and shows the action from a/an [MASK] of angles .	variety
A/An [MASK] is walking along a track .	woman
She takes off at a fast [MASK] .	run
She jumps over a bar and onto a/an [MASK] .	mat
A person is slicing limes on a/an [MASK] .	board
They put the limes and [MASK] into a blender .	sugar
They strain the [MASK] and pour it into a jar .	juice
They put a straw and a lime wedge on the rim of the [MASK] .	glass
A child scrubs out the kitchen sink using a/an [MASK] .	brush
The boy turns on the [MASK] faucet .	sink
The child uses the faucet [MASK] to rinse out the sink .	nozzle
The [MASK] returns the sink nozzle to the faucet and turns off the water .	boy
A dealer is shown laying out cards on a table while other people 's hands are shown on the [MASK] .	side
The person then lays out cards while another [MASK] lays out their chips .	person
Several people are outside with running [MASK] and numbers pinned to them jogging at a slow pace at what seams to be a Marathon or a 5k .	equipment
A lady dressed in all black however , seems to be the focal point throughout the video and she is walking at an extremely slow [MASK] for the whole time .	pace
After the crowd is shown and more people are seen running through the city or even participating in a/an [MASK] chair as the people on the side cheer them on .	wheel
A man is shown standing in front of a blue [MASK] as many harmonicas are shown and he starts playing them .	background
He is then shown speaking into the [MASK] and going into detail with regards to the products features .	camera
He shows off how many he has in his/her/their/its/your/my [MASK] and continues talking .	coat
He is then shown playing another [MASK] as he gives instruction on it .	harmonica
He speaks some more and shows his harmonica again as the [MASK] goes to an end title screen that reads Howcast original '' .	video
A boy wearing white shorts is standing in a/an [MASK] .	room
He puts [MASK] in his mouth .	something
He kicks his/her/their/its/your/my [MASK] up to the side .	legs
The kneels down onto the [MASK] .	ground
A small [MASK] of people are seen sitting on the side and lead into two people dancing together .	group
The people continue dancing along the floor and [MASK] by clapping with the band .	end
A runner tests a prosthetic leg in a long distance [MASK] .	run
A small [MASK] of people are seen wandering around a tennis court hitting a ball over the net .	group
The people hit the [MASK] back and fourth while others watch on the side .	ball
They continue to play the [MASK] as well as others .	game
A young girl introduces the video and explains what she will be doing to [MASK] .	wood
She places a piece of bubblewrap and makes sure it covers around about half of the [MASK] .	wood
She then covers the [MASK] of the wood and walks across it like a plank .	rest
A man uses a large [MASK] blue bat .	plastic
He swings it at a pinata shaped like [MASK] squarepants .	spongebob
Athletes throw a javelin during a/an [MASK] .	competition
A man practices his throwing stance [MASK] and doing half throws without javeline .	walking
