video id,initial time,final time,question,answer
QOlSCBRmfWY,0.83,19.86,a young woman is seen standing in a [blank] and leads into her dancing .,room
nwznKOuZM7w,0,15.51,[blank] people are seen moving around a kitchen quickly performing various tasks and sitting down .,two
ogQozSI5V8U,19.37,36.55,the [blank] turns around and goes back to the other room .,dog
nHE7u40plD0,82.97,87.33,a little boy holding a yellow [blank] walks by .,ball
nHE7u40plD0,82.97,87.33,a little boy holding a [blank] ball walks by .,yellow
D18b2IZpxk0,19.61,88.01,the [blank] walks as the woman leans forward .,camel
pizl41xmw7k,27.53,43.02,the child sets the [blank] down and plays with her family member .,mop
oP77DgsbhKQ,41.85,119.1,the man mixes up various [blank] and begins laying plaster on the floor .,ingredients
fzp5ooc727c,0,14.83,[blank] lines of young men are walking side by side down a road .,two
fzp5ooc727c,15.57,32.63,then [blank] man stands in a field holding a wooden object and begins twisting it .,one
fzp5ooc727c,32.63,44.5,he then bends down and grabs a [blank] .,ball
fzp5ooc727c,44.5,65.26,"after , the [blank] is placed on the ground .",ball
fzp5ooc727c,66.74,72.68,the [blank] is thrown back and he its it again .,ball
fzp5ooc727c,106.05,130.52,[blank] players attempts to hit the ball into the goal from the side .,one
LNKdVrX_0Fg,0,22.67,a woman wearing [blank] is talking to the camera .,overalls
t0ajvfx6dgA,120.02,125.17,a person in a [blank] uniform is standing in front of a net blocking balls .,yellow
AGgJVF3nT6I,0,14.31,a [blank] is seen followed by a young boy sliding down a slide and climbing back up again .,playroom
XD3yFrJHiv8,0,157.32,a man and woman are sitting on [blank] couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them .,red
XD3yFrJHiv8,0,16.52,"the woman picks up a [blank] next to her and smooths out the papers that are on top of it while smiling , crosses her legs and sits back .",clipboard
XD3yFrJHiv8,152.6,157.32,she puts her [blank] down .,clipboard
lZKrd84QElk,45.75,65.17,the man then shares a [blank] with other people around him .,beer
6lYTHj9vImo,0,15.33,"[blank] kids are outside in the beach playing in the sand , two boys on the left and two girls on the right .",four
E3QtX6r9QX0,19.12,103.37,the [blank] continue to be shown blowing around as well as a machine sitting off in the distance .,leaves
cp52LdlmlUk,17.55,129.96,they continue working out in the [blank] .,room
RgzbNJPchqc,0,69.24,a man is playing the [blank] in front of people .,bagpipes
dAjhBWalWRM,0.8,30.81,the [blank] attendant places cards on the table .,blackjack
zihMznAYlV0,1.46,4.73,[blank] men in padded sumo costumes are pulled along a tug rope on a ski slope .,two
zihMznAYlV0,6.19,72.8,[blank] men in yellow padded sumo costumes do jumps on their snowboard on a downhill course .,two
zihMznAYlV0,6.19,72.8,two men in [blank] padded sumo costumes do jumps on their snowboard on a downhill course .,yellow
zihMznAYlV0,51.32,53.14,the [blank] men give each other a high five .,two
---9CpRcKoU,8.87,14.07,he is drinking the [blank] from a bowl .,broth
epqnpUCVLK8,13.61,24.38,the [blank] rolls away .,ball
m22TDwfa8go,136.05,183.86,she pours the [blank] out into the glass while still speaking to the camera .,drink
V_Nj_BhesEY,0,13.72,[blank] people stand by the corner of a building .,three
p9iE8iemCMs,10.09,123.82,a person is holding a [blank] .,flute
fN2DiOswmOA,7.42,14.84,a person is mixing [blank] ingredients in a large bowl .,salad
fN2DiOswmOA,7.42,14.84,a person is mixing salad ingredients in a large [blank] .,bowl
fN2DiOswmOA,28.75,63.99,two customers make a purchase and give [blank] to the seller and give the camera a thumbs up .,money
fN2DiOswmOA,28.75,63.99,[blank] customers make a purchase and give money to the seller and give the camera a thumbs up .,two
fN2DiOswmOA,134.47,143.75,then the chef places the ingredients in a salad [blank] .,bowl
fN2DiOswmOA,143.75,154.88,"the finished [blank] is shown on screen , followed by a group of people sitting together and enjoying the salad .",product
37pwbUp8t1I,59.01,199.04,they are all doing the same basic dance and having [blank] taken of them .,pictures
TmI9MxCDBMw,0,32.63,a murky [blank] is shown next to a row of trees .,river
4x7HYKV8zkY,0,26.09,[blank] girls are on the beach talking .,three
Kp7pUEKrb8Q,64.98,66.33,they strain the [blank] and pour it into a jar .,juice
5lre5zbUV1Q,0,33.6,a child scrubs out the [blank] sink using a brush .,kitchen
5lre5zbUV1Q,36.68,69.51,the child uses the faucet [blank] to rinse out the sink .,nozzle
5lre5zbUV1Q,69.89,73.37,the boy returns the [blank] nozzle to the faucet and turns off the water .,sink
CmEQjszPDrg,40.86,138.03,"a lady dressed in all [blank] however , seems to be the focal point throughout the video and she is walking at an extremely slow pace for the whole time .",black
CmEQjszPDrg,139.13,220.85,after the crowd is shown and more people are seen running through the city or even participating in a wheel [blank] as the people on the side cheer them on .,chair
RULNhPrXnfA,0,23.44,a man is shown standing in front of a [blank] background as many harmonicas are shown and he starts playing them .,blue
RULNhPrXnfA,150.98,187.55,he speaks some more and shows his [blank] again as the video goes to an end title screen that reads howcast original '' .,harmonica
Zd22n1caVgM,0,31.51,a boy wearing white [blank] is standing in a room .,shorts
Zd22n1caVgM,0,31.51,a boy wearing [blank] shorts is standing in a room .,white
Zd22n1caVgM,0,31.51,a boy wearing white shorts is standing in a [blank] .,room
VFOjLDa5VtA,14.87,37.06,the people hit the [blank] back .,ball
LFeoVokXAFY,0,8.47,a man uses a large plastic blue [blank] .,bat
LFeoVokXAFY,0,8.47,a man uses a large plastic [blank] bat .,blue
HxJnPUqF9i8,56.29,61.13,the man swings a [blank] .,hammer
HxJnPUqF9i8,67.18,75.05,the man throws a weighted [blank] .,ball
Y_dtU10XIsg,46.57,66.06,a [blank] wags his [blank] as he tries to help .,tail
NwfS7eZiMLg,0,99.02,"a man is playing the [blank] at the bottom of the stairs in the living room of a house , wearing a button up and dress pants , along with socks .",bagpipes
aJbl1eVBzk0,0,187.83,people are working in a bike [blank] fixing a bike .,shop
aJbl1eVBzk0,122.09,129.6,they put the [blank] back onto the bike .,wheels
aJbl1eVBzk0,167.17,169.98,the [blank] is put together on the floor .,bicycle
f0CViWbj3V4,1.93,20.59,the man plays [blank] drums while the woman helps occasionally .,bongo
h8J08sJ2no0,0,24.8,he goes down the wall and reach the [blank] and walk forward .,floor
g0XO-rWHmzs,0.74,44.39,a woman is seen holding [blank] dogs on a leash and proceeds to unhook them and let them go .,two
i2u80Y3BMYs,0,63.36,[blank] men in work out clothes are standing up against the wall .,two
i2u80Y3BMYs,63.36,136.38,[blank] man is then shown .,one
WvxwmaDFGqk,0,1.32,a man is seen kneeling in a [blank] .,gym
xmag8UI8iws,0,104.33,a person is using a [blank] blower to blow leaves into a pile .,leaf
xmag8UI8iws,68.86,80.33,the [blank] blow up onto a hedge .,leaves
N9LTq3gYmsI,0,14.04,a group of people are sitting down at the top of a snow slide in a [blank] .,tube
N9LTq3gYmsI,28.8,35.55,"as he reaches the bottom , several black [blank] are placed in front of him to help slow him down .",mats
N9LTq3gYmsI,28.8,35.55,"as he reaches the bottom , several [blank] mats are placed in front of him to help slow him down .",black
